gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,charges_per_tenure_month,estimated_tenure_value,tenure_bucket,active_service_count,electronic_payment,actual_churn,predicted_churn,probability,error_type,borderline_probability
Female,0,Yes,No,58,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),109.1,6393.65,110.2353448275862,6327.799999999999,49-72,5,0,0,0,0.16905801892407052,correct,False
Female,1,No,Yes,30,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,101.3,2974.5,99.15,3039.0,25-48,3,1,0,1,0.7626725784526993,false_positive,False
Male,0,Yes,Yes,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,115.85,6567.9,117.28392857142856,6487.599999999999,49-72,6,0,0,0,0.10885106170943747,correct,False
Male,0,No,No,10,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.9,1048.85,104.88499999999999,949.0,7-12,3,1,1,1,0.8690027028928985,correct,False
Female,0,Yes,No,2,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.1,68.75,34.375,70.2,0-6,1,1,1,1,0.8793902131298489,correct,False
Female,0,Yes,Yes,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.65,471.35,26.186111111111114,443.7,13-24,0,0,0,0,0.06370865795151358,correct,False
Female,0,Yes,Yes,51,No,No phone service,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,56.15,2898.95,56.84215686274509,2863.65,49-72,4,1,0,0,0.32862730325077233,correct,False
Male,0,Yes,No,60,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),109.45,6572.85,109.5475,6567.0,49-72,5,0,0,1,0.5342895067385897,false_positive,True
Female,0,Yes,Yes,24,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,55.15,1319.85,54.99375,1323.6,13-24,2,1,0,0,0.21047794973247802,correct,False
Male,0,Yes,No,70,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),115.65,7968.85,113.84071428571428,8095.5,49-72,6,0,1,0,0.2083493676169625,false_negative,False
Male,0,No,No,12,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,53.75,648.65,54.05416666666667,645.0,7-12,2,0,0,0,0.38942603601961695,correct,False
Male,0,Yes,Yes,25,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),61.6,1611.0,64.44,1540.0,25-48,3,0,0,0,0.12218743881885151,correct,False
Male,0,No,No,36,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.35,695.85,19.329166666666666,732.6,25-48,0,0,0,0,0.08517681077093305,correct,False
Male,0,Yes,Yes,11,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,90.6,1020.2,92.74545454545455,996.5999999999999,7-12,2,1,0,1,0.7914023285962037,false_positive,False
Male,0,Yes,Yes,7,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,89.75,608.8,86.97142857142856,628.25,7-12,3,1,1,1,0.740728308513776,correct,False
Female,1,Yes,No,26,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),98.1,2510.7,96.5653846153846,2550.6,25-48,3,0,0,1,0.817151732524553,false_positive,False
Male,0,No,No,41,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,74.25,3089.1,75.34390243902439,3044.25,25-48,1,1,0,1,0.5262736792183703,false_positive,True
Female,1,No,No,57,No,No phone service,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,55.0,3094.05,54.28157894736842,3135.0,49-72,4,1,0,1,0.593773487177489,false_positive,True
Female,0,Yes,Yes,28,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),90.1,2598.95,92.81964285714285,2522.7999999999997,25-48,2,0,1,0,0.4933345002117428,false_negative,True
Female,0,No,No,10,Yes,No,DSL,No,Yes,No,Yes,No,Yes,One year,No,Mailed check,64.9,685.55,68.55499999999999,649.0,7-12,3,0,0,0,0.22667410838378424,correct,False
Female,0,No,No,41,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),56.3,2364.0,57.65853658536585,2308.2999999999997,25-48,1,0,0,0,0.17897139060911846,correct,False
Female,0,No,No,22,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.05,1886.25,85.73863636363636,1959.1,13-24,3,1,0,1,0.6229814830719373,false_positive,False
Female,0,No,No,57,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),112.95,6465.0,113.42105263157895,6438.150000000001,49-72,5,0,1,0,0.1966877743214154,false_negative,False
Male,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.45,270.2,20.784615384615385,252.85,13-24,0,0,0,0,0.10480136472747931,correct,False
Female,0,Yes,Yes,61,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Credit card (automatic),100.7,6018.65,98.66639344262295,6142.7,49-72,4,0,0,0,0.26393694768354287,correct,False
Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05,20.05,20.05,20.05,0-6,0,0,0,0,0.3708945663868234,correct,False
Female,0,Yes,Yes,18,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.35,309.25,17.180555555555557,348.3,13-24,0,0,0,0,0.03409987883654414,correct,False
Male,0,No,No,6,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),87.95,522.35,87.05833333333334,527.7,0-6,2,0,0,1,0.8851390983946126,false_positive,False
Female,0,No,No,7,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,59.5,415.95,59.42142857142857,416.5,7-12,2,0,1,1,0.5140546546136892,correct,True
Female,0,Yes,Yes,9,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,55.3,501.2,55.68888888888889,497.7,7-12,1,0,0,0,0.497202680047122,correct,True
Male,1,Yes,Yes,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),49.25,49.25,49.25,49.25,0-6,1,0,1,1,0.6424590119194626,correct,False
Male,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.8,713.1,79.23333333333333,727.1999999999999,7-12,1,1,1,1,0.833169129379474,correct,False
Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.45,900.9,18.385714285714286,1002.05,49-72,0,0,0,0,0.057593885605712505,correct,False
Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,95.09333333333333,1486.5,13-24,4,0,1,1,0.676636062356029,correct,False
Female,0,Yes,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.55,608.5,20.283333333333335,586.5,25-48,0,0,0,0,0.05838879865381958,correct,False
Female,1,Yes,No,70,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),75.65,5411.4,77.30571428571427,5295.5,49-72,0,0,0,0,0.1712379585215734,correct,False
Male,0,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,107.44200000000001,2637.5,25-48,5,1,0,1,0.6720829774444933,false_positive,False
Female,0,Yes,Yes,49,No,No phone service,DSL,Yes,No,No,Yes,No,No,One year,Yes,Credit card (automatic),35.8,1782.0,36.36734693877551,1754.1999999999998,49-72,2,0,0,0,0.11856139967766831,correct,False
Male,0,No,No,18,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,25.15,476.8,26.48888888888889,452.7,13-24,0,0,0,0,0.43736077119392425,correct,True
Female,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),19.2,532.1,21.284000000000002,480.0,25-48,0,0,0,0,0.1998993294607766,correct,False
Male,0,No,Yes,23,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,No,Mailed check,40.1,857.75,37.29347826086956,922.3000000000001,13-24,3,0,0,0,0.05568404754990659,correct,False
Male,0,Yes,Yes,67,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),103.15,6895.5,102.91791044776119,6911.05,49-72,5,0,0,0,0.09315601369502342,correct,False
Male,0,Yes,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.5,759.35,21.695714285714285,717.5,25-48,0,0,0,0,0.022568845635671964,correct,False
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,45.85,45.85,45.85,45.85,0-6,0,0,1,1,0.7011977401182489,correct,False
Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),114.45,8375.05,116.32013888888888,8240.4,49-72,6,0,0,0,0.09652802441016978,correct,False
Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.7,20.7,20.7,20.7,0-6,0,1,0,0,0.4997644270146621,correct,True
Male,1,Yes,Yes,60,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,80.95,4859.1,80.985,4857.0,49-72,1,1,0,1,0.5247612256240146,false_positive,True
Female,0,No,No,7,Yes,No,DSL,Yes,No,No,No,No,Yes,One year,Yes,Electronic check,59.1,369.25,52.75,413.7,7-12,2,1,0,0,0.4165266403764561,correct,True
Male,0,No,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.55,1240.15,19.37734375,1251.2,49-72,0,0,0,0,0.017825641630478697,correct,False
Female,0,No,No,15,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,48.85,736.8,49.12,732.75,13-24,1,1,0,0,0.4004647406995453,correct,True
Male,0,Yes,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,19.85,35.9,17.95,39.7,0-6,0,0,1,0,0.22315621629803198,false_negative,False
Female,0,No,No,13,Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,78.75,995.35,76.56538461538462,1023.75,13-24,4,1,0,1,0.6718813369633855,false_positive,False
Male,0,No,No,26,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.35,2515.3,96.7423076923077,2557.1,25-48,3,1,1,1,0.8465397717600971,correct,False
Female,0,Yes,No,52,No,No phone service,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,35.45,1958.95,37.67211538461539,1843.4,49-72,2,0,0,0,0.12883874668917333,correct,False
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),20.2,20.2,20.2,20.2,0-6,0,0,1,1,0.5022453433627236,correct,True
Female,1,No,No,15,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,89.85,1424.95,94.99666666666667,1347.75,13-24,2,1,1,1,0.7815373967489707,correct,False
Female,0,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),74.9,147.15,73.575,149.8,0-6,0,0,1,1,0.8454486355151309,correct,False
Female,0,Yes,Yes,31,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,91.15,2995.45,96.62741935483871,2825.65,25-48,2,1,1,1,0.7056886547229879,correct,False
Male,0,No,No,26,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,No,Bank transfer (automatic),75.5,2018.1,77.61923076923077,1963.0,25-48,1,0,0,0,0.2922354355369919,correct,False
Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,30.189999999999998,297.5,7-12,1,0,0,0,0.42948003516795263,correct,True
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05,20.05,20.05,20.05,0-6,0,0,0,0,0.4198383770025472,correct,True
Female,1,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.6,195.05,97.525,159.2,0-6,1,1,1,1,0.9281019902944563,correct,False
Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.3,28.3,14.15,38.6,0-6,0,0,1,0,0.2577381432917877,false_negative,False
Female,0,Yes,No,13,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),48.75,633.4,48.723076923076924,633.75,13-24,3,0,1,1,0.7026206458332237,correct,False
Male,0,Yes,Yes,33,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),74.75,2453.3,74.34242424242424,2466.75,25-48,4,0,0,0,0.1545735286477621,correct,False
Female,1,No,No,46,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),91.3,4126.35,89.70326086956523,4199.8,25-48,3,0,0,0,0.35495276733105835,correct,False
Female,0,No,No,13,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,49.15,649.4,49.95384615384615,638.9499999999999,13-24,3,1,0,1,0.6994539403975536,false_positive,False
Female,1,No,No,37,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),106.75,4056.75,109.64189189189189,3949.75,25-48,4,0,1,1,0.6473242236290668,correct,False
Female,0,Yes,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.1,1143.8,18.750819672131147,1165.1000000000001,49-72,0,0,0,0,0.037272901815891775,correct,False
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.8,20.8,20.8,20.8,0-6,0,0,0,0,0.4158584176513162,correct,True
Female,0,Yes,Yes,9,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,75.85,647.5,71.94444444444444,682.65,7-12,1,1,0,1,0.6895397855340327,false_positive,False
Male,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.6,207.4,69.13333333333334,208.79999999999998,0-6,0,0,0,1,0.8510860798041817,false_positive,False
Male,0,Yes,No,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.9,1363.45,19.76014492753623,1373.1,49-72,0,0,0,0,0.01634699912268586,correct,False
Female,0,Yes,Yes,62,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.3,1296.15,20.905645161290323,1258.6000000000001,49-72,0,0,0,0,0.014850600690995816,correct,False
Male,0,No,No,20,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.7,419.4,20.97,394.0,13-24,0,0,0,0,0.05470103119724099,correct,False
Male,0,No,No,61,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,104.0,6363.45,104.31885245901638,6344.0,49-72,4,1,0,0,0.41870880731710697,correct,True
Female,0,No,No,4,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,23.9,97.5,24.375,95.6,0-6,0,1,0,0,0.38912228988347025,correct,False
Male,0,Yes,No,63,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,No,Electronic check,102.6,6296.75,99.9484126984127,6463.799999999999,49-72,3,1,0,0,0.28169642629835995,correct,False
Male,0,No,No,50,No,No phone service,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,35.0,1782.4,35.648,1750.0,49-72,2,0,0,0,0.2831464625404414,correct,False
Male,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,80.5,80.5,80.5,80.5,0-6,1,1,1,1,0.8917963454345706,correct,False
Female,0,Yes,Yes,70,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),74.1,5222.3,74.60428571428572,5187.0,49-72,5,0,0,0,0.04421583288661659,correct,False
Female,0,Yes,Yes,72,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),76.8,5468.45,75.95069444444444,5529.599999999999,49-72,3,0,0,0,0.08910130949634576,correct,False
Female,0,No,No,35,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,60.55,1982.6,56.645714285714284,2119.25,25-48,3,1,0,0,0.21857246144920603,correct,False
Male,0,No,No,12,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,67.25,832.3,69.35833333333333,807.0,7-12,3,1,0,0,0.45018336283712107,correct,True
Female,0,Yes,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),109.8,6109.65,109.10089285714285,6148.8,49-72,5,0,0,0,0.32214722750541436,correct,False
Male,0,No,Yes,12,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),73.75,871.4,72.61666666666666,885.0,7-12,0,0,1,1,0.731292049421212,correct,False
Female,0,No,No,36,Yes,Yes,DSL,No,No,Yes,No,No,No,One year,No,Electronic check,55.8,1941.5,53.93055555555556,2008.8,25-48,1,1,0,0,0.22782773960855285,correct,False
Female,0,Yes,No,40,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),105.75,4228.55,105.71375,4230.0,25-48,4,0,0,0,0.3797504872479347,correct,False
Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.6,59.75,19.916666666666668,58.800000000000004,0-6,0,0,1,0,0.48840862400952323,false_negative,True
Female,1,No,No,40,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),103.75,4188.4,104.71,4150.0,25-48,4,0,0,1,0.5255480013156408,false_positive,True
Male,0,Yes,No,67,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),70.9,4677.1,69.80746268656716,4750.3,49-72,4,0,0,0,0.024631435204772036,correct,False
Female,0,No,No,67,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),72.35,4991.5,74.5,4847.45,49-72,4,0,0,0,0.0813929717079769,correct,False
Female,0,No,No,7,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,66.85,458.1,65.44285714285715,467.94999999999993,7-12,2,1,0,1,0.7275586098348564,false_positive,False
Male,0,No,No,3,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,90.4,268.45,89.48333333333333,271.20000000000005,0-6,3,1,0,1,0.8732154950138115,false_positive,False
Male,0,No,No,42,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,100.3,4222.95,100.54642857142856,4212.599999999999,25-48,3,1,0,1,0.7289200124377385,false_positive,False
Female,0,Yes,Yes,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,26.2,1077.5,26.9375,1048.0,25-48,0,1,0,0,0.2184942150012129,correct,False
Female,1,Yes,No,53,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,94.0,4871.45,91.91415094339622,4982.0,49-72,4,1,0,0,0.4169121049891331,correct,True
Female,0,No,No,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.55,61.05,20.349999999999998,58.650000000000006,0-6,0,1,0,0,0.4938585903387891,correct,True
Female,1,No,No,9,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,90.1,816.8,90.75555555555555,810.9,7-12,2,1,0,1,0.8856323124821909,false_positive,False
Female,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),20.1,1326.25,18.42013888888889,1447.2,49-72,0,0,0,0,0.01682326083138829,correct,False
Male,1,No,No,46,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Electronic check,85.0,3969.4,86.29130434782608,3910.0,25-48,2,1,1,1,0.5077405666070693,correct,True
Female,0,Yes,Yes,61,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,24.1,1551.6,25.43606557377049,1470.1000000000001,49-72,0,0,0,0,0.030255270050332687,correct,False
Female,0,Yes,Yes,54,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),69.95,3871.85,71.70092592592593,3777.3,49-72,4,0,0,0,0.030354796162045432,correct,False
Male,0,No,No,11,No,No phone service,DSL,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,41.6,470.6,42.78181818181818,457.6,7-12,2,1,1,1,0.5804950701699655,correct,True
Female,0,Yes,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.55,521.8,17.99310344827586,566.95,25-48,0,0,0,0,0.04463806147769466,correct,False
Male,0,Yes,Yes,67,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,111.3,7482.1,111.67313432835822,7457.099999999999,49-72,5,1,1,0,0.38076297009505,false_negative,False
Male,0,Yes,Yes,49,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,97.95,4917.9,100.36530612244897,4799.55,49-72,3,1,0,1,0.5530450371914342,false_positive,True
Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),100.55,7325.1,101.73750000000001,7239.599999999999,49-72,4,0,0,0,0.09718183826160369,correct,False
Female,0,Yes,Yes,71,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),87.25,6328.7,89.13661971830986,6194.75,49-72,6,0,0,0,0.022959296557402295,correct,False
Female,1,No,No,44,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer (automatic),74.85,3268.05,74.27386363636364,3293.3999999999996,25-48,4,0,0,0,0.1669910838118127,correct,False
Male,0,Yes,Yes,41,Yes,No,DSL,Yes,Yes,Yes,No,No,No,One year,Yes,Bank transfer (automatic),60.3,2511.3,61.25121951219513,2472.2999999999997,25-48,3,0,0,0,0.08932877645027543,correct,False
Female,0,No,No,11,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,58.95,601.6,54.690909090909095,648.45,7-12,1,0,0,1,0.6477221233813474,false_positive,False
Female,0,No,No,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.3,279.3,21.484615384615385,250.9,13-24,0,0,0,0,0.25103679992100286,correct,False
Female,1,Yes,No,55,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,No,Credit card (automatic),88.8,4805.3,87.36909090909091,4884.0,49-72,3,0,0,0,0.13800353911254648,correct,False
Female,0,No,No,11,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),48.55,501.0,45.54545454545455,534.05,7-12,1,0,1,0,0.3266449878539636,false_negative,False
Female,0,No,Yes,48,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),45.55,2108.35,43.92395833333333,2186.3999999999996,25-48,3,0,0,0,0.26054095259405496,correct,False
Male,0,No,No,31,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Credit card (automatic),81.7,2548.65,82.21451612903226,2532.7000000000003,25-48,1,0,0,0,0.3009019686679218,correct,False
Male,0,No,No,63,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),109.2,7049.75,111.90079365079364,6879.6,49-72,6,0,0,0,0.08500815203247579,correct,False
Female,1,Yes,Yes,61,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Electronic check,65.2,3965.05,65.00081967213114,3977.2000000000003,49-72,2,1,0,0,0.28308593524916525,correct,False
Female,0,Yes,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.25,1784.5,24.78472222222222,1746.0,49-72,0,0,0,0,0.016634731308435523,correct,False
Female,0,Yes,Yes,53,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),108.25,5935.1,111.98301886792453,5737.25,49-72,5,0,0,0,0.4681643148940404,correct,True
Female,1,No,No,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,48.2,340.35,48.621428571428574,337.40000000000003,7-12,1,1,0,1,0.5621931124506164,false_positive,True
Female,0,Yes,Yes,28,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,81.05,2227.1,79.53928571428571,2269.4,25-48,1,1,1,1,0.6852896146929489,correct,False
Female,0,No,No,16,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,72.65,1194.3,74.64375,1162.4,13-24,0,1,1,1,0.7247793253114544,correct,False
Female,0,No,Yes,7,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,71.05,472.65,67.52142857142857,497.34999999999997,7-12,0,1,0,1,0.7485351063771156,false_positive,False
Female,0,No,No,5,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,64.0,370.25,74.05,320.0,0-6,2,1,0,1,0.8340849170564557,false_positive,False
Female,0,Yes,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),23.9,1663.5,23.429577464788732,1696.8999999999999,49-72,0,0,0,0,0.017157956384014673,correct,False
